lokacija,ime,cena,ocena gostov,število zvezdic
Split,Hotel Alem,€ 119,"7,1",2
Split,Fontana Resort,€ 45,"7,0",2
Split,Arkada Hotel,€ 127,"6,9",2
Split,Hotel Zagreb,€ 114,"6,9",2
Split,Slavija Culture Heritage Hotel,€ 380,"8,7",3
Split,Hotel Viktorija,€ 146,"9,0",3
Split,Hotel Kastil,€ 81,"8,2",3
Split,Hotel Ballet School,€ 123,"8,3",3
Split,Villa Katarina,€ 100,"8,6",3
Split,Hotel Timun,€ 119,"8,2",3
Split,Holiday Village Sagitta - Light All Inclusive,€ 126,"7,8",3
Split,Labranda Velaris Village,€ 150,"8,2",3
Split,Hotel Adria,€ 101,"8,2",3
Split,Villa Verica,€ 96,"8,8",3
Split,Hotel Vila Tina,€ 133,"8,9",3
Split,Family Beach Rooms,€ 80,"8,6",3
Split,Hotel Trogirski Dvori,€ 105,"8,2",3
Split,Villa Bougenvilia Tomas,€ 106,"8,9",3
Split,Apartments Vila Adrijana & Fitness Studio WOLF BV,€ 72,"8,7",3
Split,Benjamin Hotel,€ 103,"8,8",3
Split,Hotel Neva,€ 139,"8,5",3
Split,Hotel Sunce,€ 202,"8,2",3
Split,Villa Jidro,€ 107,"8,6",3
Split,Hotel Buenavista Beach House Trogir,€ 73,"8,5",3
Split,Hotel Kastel 1700,€ 211,"8,7",3
Split,Hotel Consul,€ 173,"8,7",3
Split,Hotel Val All Inclusive,€ 157,"7,9",3
Split,Hotel Batuda,€ 126,"9,0",3
Split,Hotel Alkar,€ 68,"8,2",3
Split,Hotel Krilo,€ 79,"7,7",3
Split,Villa M,€ 172,"8,6",3
Split,Bluesun hotel Neptun - All inclusive,€ 243,"8,5",3
Split,Hotel Venezia Imotski,€ 107,"8,3",3
Split,Hotel More,€ 175,"8,0",3
Split,Hotel Hvar,€ 91,"7,3",3
Split,Beach Hotel,€ 114,"7,2",3
Split,Villa Daniela,€ 93,"8,5",3
Split,Adriatik Paradise,€ 64,"6,8",3
Split,Agava Apartments,€ 65,"9,5",3
Split,Hotel Villa Dvor,€ 189,"9,2",3
Split,Bluesun Hotel Borak,€ 192,"8,9",3
Split,Fresh Apartments Dar Orlic,€ 77,"8,4",3
Split,Hotel Prvan,€ 85,"7,7",3
Split,Hotel Sirena Hvar,€ 108,"7,1",3
Split,Hotel Aqua - Guest Rooms & Suites Kaštela,€ 84,"7,9",3
Split,Hotel Maritimo,€ 143,"9,2",3
Split,Hotel Jadran,€ 144,"6,7",3
Split,Garden Apartment Hotel,€ 95,"8,2",3
Split,Hotel Medena Budget,€ 138,"5,3",3
Split,Villa Knez,€ 130,"9,1",3
Split,Makarska Sunny Resort,€ 187,"8,5",3
Split,Annex building of Art Hotel,€ 144,"8,6",3
Split,TUI BLUE Adriatic Beach - All Inclusive - Adults Only,€ 292,"8,8",4
Split,Labranda Velaris Resort,€ 253,"8,6",4
Split,Hotel Agava Split,€ 162,"8,9",4
Split,Ark Beach Apartments,€ 199,"8,8",4
Split,TUI BLUE Makarska - Adults Only,€ 172,"8,8",4
Split,Grand Hotel View,€ 309,"9,1",4
Split,Hotel - Aparthotel Teranea City Hvar,€ 232,"9,0",4
Split,Boutique Hotel Ani - Adults Only,€ 265,"9,6",4
Split,Pharos Hvar Hotel,€ 243,"8,4",4
Split,Belado Residence Bol,€ 170,"9,8",4
Split,Hotel Salona Palace,€ 180,"8,7",4
Split,Hotel Horizont,€ 133,"7,9",4
Split,Hotel Saint Hildegard,€ 211,"9,1",4
Split,Amfora Hvar Grand Beach Resort,€ 423,"8,3",4
Split,Hotel Tamaris,€ 183,"9,3",4
Split,Villa Nepos Hotel,€ 453,"9,6",4
Split,Hotel Eden,€ 147,"9,0",4
Split,Amphora Hotel,€ 310,"8,5",4
Split,Boutique Hotel Noemia,€ 271,"9,5",4
Split,Boutique Hotel Mirjam,€ 205,"9,5",4
Split,Grand Hotel Slavia,€ 177,"9,1",4
Split,Hotel Sunceva Postelja Brela,€ 243,"9,7",4
Split,Hotel Sveti Kriz,€ 147,"7,5",4
Split,Hotel Luxe,€ 315,"9,2",4
Split,Aparthotel Milenij,€ 147,"8,9",4
Split,Hotel Bella Vista,€ 159,"8,6",4
Split,Central Square Heritage Hotel,€ 409,"9,0",4
Split,Hotel Nestos,€ 206,"9,2",4
Split,Heritage Hotel Vila Sikaa,€ 140,"8,2",4
Split,Residence by Vestibul Palace,€ 348,"9,3",4
Split,Time Boutique Hotel,€ 273,"9,1",4
Split,Hotel Park Makarska,€ 229,"9,0",4
Split,Hotel Trogir Palace,€ 162,"8,4",4
Split,Marvie Hotel & Health,€ 272,"9,0",4
Split,Villa Andrea,€ 203,"9,3",4
Split,Hotel SOL,€ 129,"9,2",4
Split,Hotel Podstine,€ 441,"8,5",4
Split,Bifora Heritage Hotel,€ 171,"8,5",4
Split,Villa Slika,€ 178,"9,0",4
Split,Heritage Hotel 19,€ 288,"9,2",4
Split,Sperone Hotel,€ 230,"9,1",4
Split,Hotel Biokovo,€ 164,"8,7",4
Split,Villa Giardino Heritage Boutique Hotel Bol,€ 246,"9,7",4
Split,PRIMA Life Spalato,€ 147,"7,5",4
Split,Aparthotel Miramare,€ 174,"8,8",4
Split,Heritage hotel Santa Lucia,€ 333,"9,2",4
Split,Divota Apartment Hotel,€ 215,"9,1",4
Split,Galeria Valeria Seaside Downtown - MAG Quaint & Elegant Boutique Hotels,€ 261,"7,9",4
Split,Ellure Luxury Suites,€ 277,"9,2",4
Split,Hotel Mondo,€ 142,"8,7",4
Split,Heritage Hotel FERMAI MGallery Split,€ 370,"9,4",4
Split,Hotel Fanat,€ 219,"8,6",4
Split,Adriana Hvar Spa Hotel,€ 560,"9,2",4
Split,The Residence Aparthotel,€ 155,"8,0",4
Split,Marinus Beach Hotel,€ 550,"9,3",4
Split,Bluesun Hotel Alga,€ 169,"8,2",4
Split,Hotel Monika,€ 179,"9,0",4
Split,lo͝or luxury retreat,€ 202,"9,3",4
Split,Sea view Luxury Apart Hotel Villa Conte with swiming pool and romantic SPA,€ 200,"9,5",4
Split,Hotel Corner,€ 198,"8,7",4
Split,Jupiter Luxury Hotel,€ 364,"8,0",4
Split,Hotel Rosina,€ 121,"8,7",4
Split,Hotel Plaža Duće,€ 250,"9,5",4
Split,XII Century Heritage Hotel,€ 206,"8,4",4
Split,Hotel Marul,€ 273,"8,6",4
Split,Hotel Antonio,€ 178,"9,3",4
Split,Hotel Aria,€ 143,"9,6",4
Split,Zlatni Rat Beach Resort,€ 179,"8,6",4
Split,Riva Marina Hvar Hotel,€ 505,"9,1",4
Split,Prima Luce Downtown,€ 220,"6,9",4
Split,Hotel Medistone,€ 329,"9,7",4
Split,Medora Auri Family Beach Resort,€ 220,"9,2",4
Split,Hotel Villa Harmony,€ 535,"9,0",4
Split,Villa Amorena - Adults Only,€ 96,"9,4",4
Split,Heritage Hotel Porin Makarska,€ 276,"9,1",4
Split,Mirari Boutique Hotel,€ 378,"9,3",4
Split,Bluesun Hotel Elaphusa,€ 166,"8,6",4
Split,Apartments Villa Azzurra Bol,€ 163,"9,2",4
Split,Bluesun Hotel Soline,€ 217,"8,8",4
Split,Lifestyle Hotel Vitar - Adults Only,€ 172,"9,6",4
Split,Hotel Milna Osam - Adults Only,€ 179,"8,8",4
Split,MORENIA All Inclusive Hotel,€ 219,"8,1",4
Split,A Heritage Split,€ 384,"9,6",4
Split,Hotel Central Beach 9,€ 221,"9,2",4
Split,Bluesun Holiday Village Bonaca - Full Board Plus,€ 173,"8,9",4
Split,Heritage Hotel Cardo,€ 333,"9,5",4
Split,Hotel Split Inn by President,€ 157,"7,3",4
Split,Emotheo Heritage Hotel,€ 187,"9,5",4
Split,Bluesun Hotel Maestral,€ 252,"9,1",4
Split,Valamar Meteor Hotel,€ 281,"9,0",4
Split,Bluesun Hotel Marina,€ 192,"8,5",4
Split,Bluesun Holiday Village Afrodita,€ 281,"8,5",4
Split,Bluesun Mala Berulia,€ 252,"8,9",4
Split,Heritage Hotel Kaštelet,€ 194,"9,2",4
Split,Hotel Villa Bacchus,€ 173,"9,1",4
Split,Hotel Laurentum,€ 161,"9,5",4
Split,Heritage Hotel Pasike,€ 155,"8,3",4
Split,Aminess Khalani Hotel,€ 254,"9,1",5
Split,Puteus Palace Heritage Hotel,€ 279,"9,4",5
Split,Radisson Blu Resort & Spa,€ 604,"8,6",5
Split,Hotel President Solin,€ 247,"8,1",5
Split,Le Meridien Lav Split,€ 368,"8,5",5
Split,Hotel Park Split,€ 379,"9,0",5
Split,"Hotel Moeesy, Blue & Green Oasis",€ 526,"9,4",5
Split,Damianii Luxury Boutique Hotel & Spa,€ 304,"8,8",5
Split,Bluesun hotel Berulia,€ 281,"8,9",5
Split,Bluesun Hotel Jadran,€ 294,"9,3",5
Split,Heritage Hotel Martinis Marchi,€ 418,"9,6",5
Split,Maslina Resort,€ 1.063,"9,4",5
